clue,latitude,longitude,description
1,43.089034,-89.416128,Picnic Point in Madison
7,38.105507,126.910613,Silver Beach in Hawaii
1,65.044901,-16.712836,Shore of a Volcanic Lake in Iceland
3,48.860945,2.335773,The Louvre in Paris
8,51.180315,-1.829659,Stonehenge in the UK
5,37.434183,-122.32199,Redwood forest in San Francisco
2,27.987586,86.925002,Mt. Everest in Nepal
4,34.134117,-118.321495,Hollywood Sign in LA
5,38.6551,90.0618,Cahokia Mounds in IL
9,40.7484,73.9857,Empire State Building in NY
4,29.9753,31.1376,Great Sphinx of Giza in Egypt
1,47.5576,10.7498,Neuschwanstein Castle in Germany
5,38.6247,90.1848,The Gateway Arch in St. Louis
3,30.3285,35.4444,Petra in Jordan
2,41.4808,82.6834,Cedar Point in OH
6,43.07001,-89.40945,Quick Trip on Monroe Street
